"Global cluster",Code,Sub-domain,Title,Description/Rationale,Denominator,Disaggregation,"General guidance","Guidance for pre-crisis/baseline","Guidance on phases","Indicator used for response monitoring?","Key indicator",Level,Numerator,"Phase applicability","Sector cross-tagging","Sectoral objective",Standards,"Strategic objective","Threshold / Standard",Types,"Unit Description","Unit of Measurement"
Nutrition,N-099,"N2 Infant and Young Child Feeding","Voucher/cash IYCF","Number of voucher/cash programmes targeting families with children U2 with an IYCF objective",N/A,"Geographical area",,,"Phase III and IV",Yes,No,,"Number of voucher/cash programmes targeting families with children U2 with an IYCF objective","Phase 3, Phase 4",,,,,,Output,Number,Facility
Nutrition,N-100,"N2 Infant and Young Child Feeding","Voucher/cash infants","Number of voucher/cash programmes targeting families with infants under 6 months with a breastfeeding objective",N/A,"Geographical area",,,"Phase III and IV",Yes,No,,"Number of voucher/cash programmes targeting families with infants under 6 months with a breastfeeding objective","Phase 3, Phase 4",,,,,,Output,Number,Facility
Nutrition,N-101,"N2 Infant and Young Child Feeding","Code violations followed up","Proportion of reported code violations which were followed up","Number of reported code violations","Geographical area",,,"All phases",Yes,Yes,,"Number of reported code violations which were followed up","Pre-crisis/Baseline, Phase 1,  Phase 2, Phase 3, Phase 4",,,"Food Security and Nutrition 2.1, Sphere: Infant and young child feeding standard 1: Policy guidance and coordination (Key indicator 4)",,"Target - 100%",Output,Percentage,Facility
Nutrition,N-102,"N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies","Focus group discussions","Proportion of nutrition programmes that had separate focus group discussions with affected girls, women, boys and men during assessment, planning, implementation, monitoring and evaluation","Total number of nutrition programmes","Geographical area, sex, age, phase of project (assessment, planning, implementation, monitoring and evaluation), response domain",,,"All phases",No,No,,"Number of nutrition programmes that had separate focus group discussions with affected girls, women, boys and men during assessment, planning, implementation, monitoring and evaluation","Pre-crisis/Baseline, Phase 1,  Phase 2, Phase 3, Phase 4","(R) Early Recovery",,"Sphere: Core Standard 1: People-cantered humanitarian response",,"Target - 100%",Process,Percentage,Facility
Nutrition,N-103,"N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies","Single sex consultations on effective response","Proportion of partners routinely conducting single sex consultations to discuss about how effectively they respond to distinct nutritional needs of the affected population and to address any challenges in accessing assistance","Total number of partners responding to the emergency","Response domain",,,"Phases  III, IV",No,No,,"Number of partners routinely conducting single sex consultations to discuss about how effectively they respond to distinct nutritional needs of the affected population and to address any challenges in accessing assistance","Phase 3, Phase 4","(R) Early Recovery",,"Sphere: Core Standard 1: People-cantered humanitarian response",,"Target - 100%",Process,Percentage,Facility
Nutrition,N-104,"N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies","Satisfaction with access to services","Proportion of target population disaggregated by sex satisfied with their access to services at the end of the project","Total number of men/women benefited from the project","Geographical area, sex, response domain",,,"Phases  III, IV",Yes,No,,"Number of men/women satisfied with their access to services at the end of the project","Phase 3, Phase 4",,,,,"Target - 100%",Output,Percentage,Individual
Nutrition,N-105,"N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies","Knowledge of good nutrition/IYCF practices","Proportion of target population disaggregated by sex who have increased knowledge of good nutrition/IYCF practices at the end of the project","Total number of men and total number of women participated in the project","Geographical area, response domain",,,"Phases  III, IV",Yes,No,,"Number of men/women who have increased knowledge of good nutrition practices at the end of the project","Phase 3, Phase 4","(R) Early Recovery",,,,"Target - 100%",Output,Percentage,Individual
Nutrition,N-106,"N1 Prevention and Management of Acute Malnutrition, N2 Infant and Young Child Feeding, N3 Prevention and Control of Micronutrients Deficiencies","Men participation in nutrition programmes","Proportion of men participated in nutritional education programmes","Total number of people participated in nutritional education programmes","Geographical area, response domain",,,"Phases II, III, IV",Yes,No,,"Number of men participated in nutritional education programmes","Phase 2, Phase 3, Phase 4","(R) Early Recovery",,,,,Output,Percentage,Individual
Nutrition,N-107,"N2 Infant and Young Child Feeding","IYCF policy","A national and/or agency policy is in place that addresses IYCF and reflects the Operational Guidance on IFE",N/A,N/A,,,"All phases",No,Yes,,N/A,"Pre-crisis/Baseline, Phase 1,  Phase 2, Phase 3, Phase 4","(R) Early Recovery",,"Food Security and Nutrition 2.1, Sphere: Infant and young child feeding standard 1: Policy guidance and coordination (Key indicator 1)",,Yes,Process,Yes/No,Community
Nutrition,N-108,"N2 Infant and Young Child Feeding","IYCF coordinating body","A lead coordinating body on IYCF is designated",N/A,N/A,,,"All phases",No,Yes,,N/A,"Pre-crisis/Baseline, Phase 1,  Phase 2, Phase 3, Phase 4","(R) Early Recovery",,"Food Security and Nutrition 2.1, Sphere: Infant and young child feeding standard 1: Policy guidance and coordination (Key indicator 2)",,Yes,Process,Yes/No,Community
Nutrition,N-109,"N2 Infant and Young Child Feeding","Body to deal with donations","A body to deal with any donations of BMS, milk products, bottles and teats is designated",N/A,N/A,,,"All phases",No,Yes,,N/A,"Pre-crisis/Baseline, Phase 1,  Phase 2, Phase 3, Phase 4",,,"Food Security and Nutrition 2.1, Sphere: Infant and young child feeding standard 1: Policy guidance and coordination (Key indicator 3)",,Yes,Process,Yes/No,Community
Nutrition,N-110,"N2 Infant and Young Child Feeding","IYCF-E Capacity","Proportion of emergency-affected areas that have an adequate number of skilled IYCF counsellors and/or functioning support groups","Total number of emergency-affected areas","Geographical area",,,"Phase III and IV",Yes,Yes,,"Number of emergency-affected areas that have an adequate number of skilled IYCF counsellors and/or functioning support groups","Phase 3, Phase 4","H2 Child health",,"Food Security and Nutrition 2.2, Sphere: Infant and young child feeding standard 2: Basic and skilled support",,,"Baseline, Output",Percentage,Community
Protection,P-1,"(P) Protection","Number of civilians reported killed by violence",,,"Age, sex, geographic unit,",,,,,Yes,,,,"C3 Protection and services monitoring and coordination, H1 General clinical services & essential trauma care, PC1 Dangers and Injuries, PM4 Victim Assistance, P5 Vulnerability",,,,,"Baseline, Output",,Household
Protection,P-10,"(P) Protection","Percentage of communities to which international and/or national humanitarian organizations' access to populations has been limited by duty bearers or armed actors",,,"geographic unit/perpetrator/type of settlement/cause",,,,,Yes,,,,"C3 Protection and services monitoring and coordination, C3.8 Access and Movement, E1 Access and Learning Environment, P5 Vulnerability, P6 Displacement and Return",,,,,"Baseline, Output",,Community
Protection,P-11,"(P) Protection","Percentage of persons in need of legal assistance receiving legal assistance/advice",,,"age/sex/geographic unit, title/function",,,,,Yes,,,,"C3 Protection and services monitoring and coordination, P5 Vulnerability, P7 Documentation, (R) Early Recovery",,,,,Output,,Individual
Protection,P-12,"(P) Protection","Estimated percentage of affected population in need of mental health and/or psychosocial support",,,age/sex,"IASC guidelines: ""The composite term Mental Health and Psychosocial Support is used to describe any type of local or outside support that aims to protect or promote psychosocial well-being and/or prevent or treat mental disorders.""",,,,Yes,,,,"C3 Protection and services monitoring and coordination, H1 General clinical services & essential trauma care, H4.3 Sexual violence, PC4 Psychosocial distress and mental disorders, PG3 Multi sectoral engagement (health, legal/justice, security, psychosocial), P5 Vulnerability, (R) Early Recovery",,,,,"Baseline, Output",,Institution
Protection,P-13,"(P) Protection","Percentage of communities reporting living in hazardous areas","Hazardous areas are those which are prone to flooding, earthquake, fires etc",,"geographic unit",,,,,Yes,,,,"C3 Protection and services monitoring and coordination, H1 General clinical services & essential trauma care, P6 Displacement and Return, R2 Basic Infrastructure Restoration, S1 Shelter, W7 Aggravating Factors",,,,,"Baseline, Output",,Community
